city,state,population
Austin,TX,961855
Houston,TX,2288250
Dallas,TX,1304379
San Antonio,TX,1434625
Fort Worth,TX,935508
Phoenix,AZ,1608139
Tucson,AZ,530706
Mesa,AZ,504258
Scottsdale,AZ,258069
Tempe,AZ,185038
Denver,CO,715522
Colorado Springs,CO,478961
Aurora,CO,366623
Fort Collins,CO,164000
Boulder,CO,105000
Atlanta,GA,498715
Savannah,GA,147780
Augusta,GA,202081
Columbus,GA,200579
Macon,GA,157346
Nashville,TN,689447
Memphis,TN,633104
Knoxville,TN,190740
Chattanooga,TN,181099
Clarksville,TN,166722
Charlotte,NC,874579
Raleigh,NC,467665
Greensboro,NC,296710
Durham,NC,278993
Winston-Salem,NC,249545
